name,code,link,manager
鹏华尊惠定期开放混合A,005416,http://fundf10.eastmoney.com/005416.html,李君
鹏华弘鑫混合A,001453,http://fundf10.eastmoney.com/001453.html,李韵怡
鹏华弘鑫混合C,001454,http://fundf10.eastmoney.com/001454.html,李韵怡
鹏华尊惠定期开放混合C,005417,http://fundf10.eastmoney.com/005417.html,李君
鹏华睿投混合,005434,http://fundf10.eastmoney.com/005434.html,刘方正
鹏华量化先锋混合,005632,http://fundf10.eastmoney.com/005632.html,罗捷
鹏华弘实混合A,001329,http://fundf10.eastmoney.com/001329.html,李韵怡
鹏华弘实混合C,001330,http://fundf10.eastmoney.com/001330.html,李韵怡
鹏华安泽混合A,009096,http://fundf10.eastmoney.com/009096.html,刘太阳
鹏华优选回报混合,006526,http://fundf10.eastmoney.com/006526.html,孟昊
鹏华鑫享稳健混合A,008058,http://fundf10.eastmoney.com/008058.html,李韵怡
鹏华安泽混合C,009097,http://fundf10.eastmoney.com/009097.html,刘太阳
鹏华兴泰定期开放混合,003663,http://fundf10.eastmoney.com/003663.html,刘方正
鹏华弘和混合A,001325,http://fundf10.eastmoney.com/001325.html,刘方正
鹏华弘和混合C,001326,http://fundf10.eastmoney.com/001326.html,刘方正
鹏华产业精选,005812,http://fundf10.eastmoney.com/005812.html,王宗合
鹏华宏观灵活配置混合,206013,http://fundf10.eastmoney.com/206013.html,戴钢
鹏华鑫享稳健混合C,008059,http://fundf10.eastmoney.com/008059.html,李韵怡
鹏华弘益混合A,001336,http://fundf10.eastmoney.com/001336.html,李韵怡
鹏华弘益混合C,001337,http://fundf10.eastmoney.com/001337.html,李韵怡
鹏华兴安定期开放混合,003186,http://fundf10.eastmoney.com/003186.html,李韵怡
鹏华兴悦定期开放混合,003780,http://fundf10.eastmoney.com/003780.html,刘方正
鹏华弘惠灵活配置混合A,003343,http://fundf10.eastmoney.com/003343.html,刘方正
鹏华弘惠灵活配置混合C,003344,http://fundf10.eastmoney.com/003344.html,刘方正
